id,image_path,label
train_00000,train_images/train_00000.jpg,161
train_00001,train_images/train_00001.jpg,67
train_00002,train_images/train_00002.jpg,32
train_00003,train_images/train_00003.jpg,109
train_00004,train_images/train_00004.jpg,142
train_00005,train_images/train_00005.jpg,119
train_00006,train_images/train_00006.jpg,124
train_00007,train_images/train_00007.jpg,190
train_00008,train_images/train_00008.jpg,191
train_00009,train_images/train_00009.jpg,195
train_00010,train_images/train_00010.jpg,61
train_00011,train_images/train_00011.jpg,68
train_00012,train_images/train_00012.jpg,167
train_00013,train_images/train_00013.jpg,60
train_00014,train_images/train_00014.jpg,151
train_00015,train_images/train_00015.jpg,40
train_00016,train_images/train_00016.jpg,151
train_00017,train_images/train_00017.jpg,186
train_00018,train_images/train_00018.jpg,110
train_00019,train_images/train_00019.jpg,100
train_00020,train_images/train_00020.jpg,181
train_00021,train_images/train_00021.jpg,75
train_00022,train_images/train_00022.jpg,176
train_00023,train_images/train_00023.jpg,80
train_00024,train_images/train_00024.jpg,28
train_00025,train_images/train_00025.jpg,166
train_00026,train_images/train_00026.jpg,86
train_00027,train_images/train_00027.jpg,87
train_00028,train_images/train_00028.jpg,21
train_00029,train_images/train_00029.jpg,71
train_00030,train_images/train_00030.jpg,97
train_00031,train_images/train_00031.jpg,118
train_00032,train_images/train_00032.jpg,74
train_00033,train_images/train_00033.jpg,84
train_00034,train_images/train_00034.jpg,129
train_00035,train_images/train_00035.jpg,126
train_00036,train_images/train_00036.jpg,43
train_00037,train_images/train_00037.jpg,15
train_00038,train_images/train_00038.jpg,39
train_00039,train_images/train_00039.jpg,126
train_00040,train_images/train_00040.jpg,3
train_00041,train_images/train_00041.jpg,24
train_00042,train_images/train_00042.jpg,149
train_00043,train_images/train_00043.jpg,121
train_00044,train_images/train_00044.jpg,103
train_00045,train_images/train_00045.jpg,134
train_00046,train_images/train_00046.jpg,6
train_00047,train_images/train_00047.jpg,26
train_00048,train_images/train_00048.jpg,109
train_00049,train_images/train_00049.jpg,172
train_00050,train_images/train_00050.jpg,165
train_00051,train_images/train_00051.jpg,146
train_00052,train_images/train_00052.jpg,143
train_00053,train_images/train_00053.jpg,52
train_00054,train_images/train_00054.jpg,171
train_00055,train_images/train_00055.jpg,153
train_00056,train_images/train_00056.jpg,143
train_00057,train_images/train_00057.jpg,54
train_00058,train_images/train_00058.jpg,179
train_00059,train_images/train_00059.jpg,75
train_00060,train_images/train_00060.jpg,3
train_00061,train_images/train_00061.jpg,196
train_00062,train_images/train_00062.jpg,44
train_00063,train_images/train_00063.jpg,69
train_00064,train_images/train_00064.jpg,62
train_00065,train_images/train_00065.jpg,198
train_00066,train_images/train_00066.jpg,84
train_00067,train_images/train_00067.jpg,13
train_00068,train_images/train_00068.jpg,66
train_00069,train_images/train_00069.jpg,177
train_00070,train_images/train_00070.jpg,63
train_00071,train_images/train_00071.jpg,26
train_00072,train_images/train_00072.jpg,5
train_00073,train_images/train_00073.jpg,77
train_00074,train_images/train_00074.jpg,3
train_00075,train_images/train_00075.jpg,87
train_00076,train_images/train_00076.jpg,193
train_00077,train_images/train_00077.jpg,18
train_00078,train_images/train_00078.jpg,61
train_00079,train_images/train_00079.jpg,61
train_00080,train_images/train_00080.jpg,15
train_00081,train_images/train_00081.jpg,178
train_00082,train_images/train_00082.jpg,132
train_00083,train_images/train_00083.jpg,42
train_00084,train_images/train_00084.jpg,93
train_00085,train_images/train_00085.jpg,177
train_00086,train_images/train_00086.jpg,157
train_00087,train_images/train_00087.jpg,48
train_00088,train_images/train_00088.jpg,46
train_00089,train_images/train_00089.jpg,191
train_00090,train_images/train_00090.jpg,177
train_00091,train_images/train_00091.jpg,93
train_00092,train_images/train_00092.jpg,174
train_00093,train_images/train_00093.jpg,127
train_00094,train_images/train_00094.jpg,188
train_00095,train_images/train_00095.jpg,1
train_00096,train_images/train_00096.jpg,165
train_00097,train_images/train_00097.jpg,126
train_00098,train_images/train_00098.jpg,189
train_00099,train_images/train_00099.jpg,28
train_00100,train_images/train_00100.jpg,101
train_00101,train_images/train_00101.jpg,42
train_00102,train_images/train_00102.jpg,74
train_00103,train_images/train_00103.jpg,20
train_00104,train_images/train_00104.jpg,155
train_00105,train_images/train_00105.jpg,42
train_00106,train_images/train_00106.jpg,79
train_00107,train_images/train_00107.jpg,185
train_00108,train_images/train_00108.jpg,29
train_00109,train_images/train_00109.jpg,83
train_00110,train_images/train_00110.jpg,166
train_00111,train_images/train_00111.jpg,85
train_00112,train_images/train_00112.jpg,69
train_00113,train_images/train_00113.jpg,18
train_00114,train_images/train_00114.jpg,40
train_00115,train_images/train_00115.jpg,40
train_00116,train_images/train_00116.jpg,2
train_00117,train_images/train_00117.jpg,125
train_00118,train_images/train_00118.jpg,165
train_00119,train_images/train_00119.jpg,20
train_00120,train_images/train_00120.jpg,0
train_00121,train_images/train_00121.jpg,152
train_00122,train_images/train_00122.jpg,11
train_00123,train_images/train_00123.jpg,30
train_00124,train_images/train_00124.jpg,59
train_00125,train_images/train_00125.jpg,129
train_00126,train_images/train_00126.jpg,130
train_00127,train_images/train_00127.jpg,140
train_00128,train_images/train_00128.jpg,71
train_00129,train_images/train_00129.jpg,145
train_00130,train_images/train_00130.jpg,18
train_00131,train_images/train_00131.jpg,32
train_00132,train_images/train_00132.jpg,185
train_00133,train_images/train_00133.jpg,50
train_00134,train_images/train_00134.jpg,23
train_00135,train_images/train_00135.jpg,167
train_00136,train_images/train_00136.jpg,10
train_00137,train_images/train_00137.jpg,48
train_00138,train_images/train_00138.jpg,139
train_00139,train_images/train_00139.jpg,50
train_00140,train_images/train_00140.jpg,67
train_00141,train_images/train_00141.jpg,130
train_00142,train_images/train_00142.jpg,43
train_00143,train_images/train_00143.jpg,100
train_00144,train_images/train_00144.jpg,199
train_00145,train_images/train_00145.jpg,185
train_00146,train_images/train_00146.jpg,8
train_00147,train_images/train_00147.jpg,131
train_00148,train_images/train_00148.jpg,28
train_00149,train_images/train_00149.jpg,8
train_00150,train_images/train_00150.jpg,120
train_00151,train_images/train_00151.jpg,54
train_00152,train_images/train_00152.jpg,103
train_00153,train_images/train_00153.jpg,160
train_00154,train_images/train_00154.jpg,107
